neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_density,Entire home/apt,Private room,Shared room,Hotel room,price_avg
33,41.7879,-87.5878,2,60,2,178,3,1,353,93,51,0,42,0,85.71428571428571
64,41.85495,-87.69696,0,105,2,395,3,1,155,41,29,0,11,1,78.96551724137932
75,41.90289,-87.68182,0,60,2,384,3,1,321,714,488,18,204,4,191.13319672131146
38,41.91769,-87.63788,0,65,4,49,1,9,300,312,257,0,51,4,199.6614785992218
33,41.79612,-87.59261,2,21,1,44,1,5,168,93,51,0,42,0,85.71428571428571
38,41.91183,-87.64,0,115,4,19,1,9,325,312,257,0,51,4,199.6614785992218
47,41.90452,-87.6332,0,99,5,9,1,1,316,672,569,38,63,2,210.493848857645
38,41.92335,-87.64951,2,289,2,4,1,1,179,312,257,0,51,4,106.76470588235294
75,41.89617,-87.66041,0,99,91,9,1,2,365,714,488,18,204,4,191.13319672131146
38,41.92679,-87.65521,0,112,32,37,1,4,180,312,257,0,51,4,199.6614785992218
38,41.92693,-87.65753,0,75,32,47,1,4,62,312,257,0,51,4,199.6614785992218
40,41.92083,-87.6801,0,94,2,60,1,1,332,387,304,0,81,2,159.0559210526316
66,41.97385,-87.66539,2,77,3,250,3,2,223,169,103,3,63,0,87.17460317460318
47,41.89377,-87.63465,2,75,2,500,5,1,0,672,569,38,63,2,141.74603174603175
38,41.92673,-87.65731,0,95,32,52,1,4,206,312,257,0,51,4,199.6614785992218
75,41.89615,-87.67934,2,65,3,70,1,2,178,714,488,18,204,4,159.26470588235293
66,41.96792,-87.65757,2,157,2,151,2,5,363,169,103,3,63,0,87.17460317460318
75,41.89615,-87.67934,2,50,3,78,1,2,314,714,488,18,204,4,159.26470588235293
66,41.9693,-87.65621,2,99,2,149,2,5,363,169,103,3,63,0,87.17460317460318
66,41.96852,-87.65225,2,35,3,162,2,1,138,169,103,3,63,0,87.17460317460318
51,41.94342,-87.68121,0,197,2,31,1,20,361,134,122,0,11,1,172.98360655737704
38,41.91289,-87.63864,0,279,2,52,1,20,355,312,257,0,51,4,199.6614785992218
37,41.94274,-87.67321,0,198,3,60,1,4,364,527,394,10,105,18,255.4746192893401
37,41.94221,-87.67327,0,280,3,22,1,4,365,527,394,10,105,18,255.4746192893401
34,41.96012,-87.72158,0,79,28,33,1,2,346,154,83,0,67,4,169.0
57,41.94325,-87.75403,2,85,3,162,2,1,324,83,58,0,25,0,61.12
40,41.92918,-87.70219,0,201,3,506,5,1,134,387,304,0,81,2,159.0559210526316
51,41.95935,-87.67963,2,30,3,173,2,1,89,134,122,0,11,1,67.81818181818181
58,41.6883,-87.60892,0,90,1,269,3,2,289,10,8,0,2,0,100.0
58,41.68909,-87.6088,0,39,30,39,1,2,107,10,8,0,2,0,100.0
40,41.92543,-87.69593,2,79,2,20,1,1,358,387,304,0,81,2,73.61728395061728
66,41.96331,-87.66088,2,125,365,5,1,3,0,169,103,3,63,0,87.17460317460318
34,41.95602,-87.72781,2,55,7,153,2,2,179,154,83,0,67,4,55.298507462686565
66,41.96797,-87.65791,2,93,2,97,1,5,363,169,103,3,63,0,87.17460317460318
48,41.86051,-87.62399,0,170,180,39,1,1,358,142,113,0,29,0,172.92920353982302
74,42.00692,-87.68438,0,48,32,20,1,1,344,66,31,0,29,6,131.6451612903226
47,41.90314,-87.63494,0,119,32,62,1,1,364,672,569,38,63,2,210.493848857645
49,41.88467,-87.64487,0,204,10,65,1,1,362,314,222,0,89,3,187.6081081081081
66,41.96924,-87.65807,0,764,1,22,1,5,0,169,103,3,63,0,183.90291262135923
40,41.92716,-87.70471,2,103,2,139,2,1,264,387,304,0,81,2,73.61728395061728
49,41.88623,-87.6404,0,156,360,10,1,1,364,314,222,0,89,3,187.6081081081081
21,41.97794,-87.65764,2,26,30,61,1,1,332,170,98,0,70,2,83.51428571428572
40,41.92063,-87.68353,2,145,1,84,1,2,365,387,304,0,81,2,73.61728395061728
10,41.82702,-87.63967,0,130,3,50,1,2,0,112,79,0,32,1,133.32911392405063
76,41.78216,-87.59027,2,47,2,46,1,1,365,83,28,0,55,0,45.49090909090909
10,41.82741,-87.63934,0,146,4,39,1,2,0,112,79,0,32,1,133.32911392405063
0,41.96331,-87.70916,0,85,3,47,1,1,268,65,29,0,36,0,138.44827586206895
36,41.8077,-87.59436,2,85,2,232,3,1,355,42,25,0,17,0,74.88235294117646
37,41.93986,-87.65473,0,128,3,499,5,1,313,527,394,10,105,18,255.4746192893401
75,41.89862,-87.65597,0,178,2,215,3,2,360,714,488,18,204,4,191.13319672131146
75,41.88913,-87.66763,0,105,5,189,2,1,2,714,488,18,204,4,191.13319672131146
75,41.90095,-87.68181,0,175,3,4,1,1,365,714,488,18,204,4,191.13319672131146
48,41.86614,-87.62275,2,119,3,38,1,1,263,142,113,0,29,0,93.17241379310344
40,41.92451,-87.69385,0,60,2,629,7,1,127,387,304,0,81,2,159.0559210526316
