age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,education_age_ratio,work_age_ratio,dataset_split
38,0,215646,2,9,0,4,1,4,1,0,0,40,38,0,0.2368421052631578,54.73684210526316,train
53,0,234721,4,7,2,4,0,2,1,0,0,40,38,0,0.1320754716981132,39.24528301886792,train
28,0,338409,1,13,2,1,5,2,0,0,0,40,4,0,0.4642857142857143,74.28571428571429,train
37,0,284582,2,14,2,1,5,4,0,0,0,40,38,0,0.3783783783783784,56.21621621621622,test
49,0,160187,4,5,3,0,1,2,0,0,0,16,22,0,0.1020408163265306,16.979591836734695,train
52,3,209642,2,9,2,1,0,4,1,0,0,45,38,1,0.173076923076923,45.0,train
31,0,45781,2,14,4,1,1,4,0,14084,0,50,38,1,0.4516129032258064,83.87096774193549,test
42,0,159449,1,13,2,1,0,4,1,5178,0,40,38,1,0.3095238095238095,49.523809523809526,validation
37,0,280464,1,10,2,1,0,2,1,0,0,80,38,1,0.2702702702702703,112.43243243243244,train
30,2,141297,1,13,2,1,0,1,1,0,0,40,18,1,0.4333333333333333,69.33333333333333,train
23,0,122272,1,13,4,1,3,4,0,0,0,30,38,0,0.5652173913043478,67.82608695652173,train
32,0,205019,0,12,4,3,1,2,1,0,0,50,38,0,0.375,81.25,train
34,0,245487,4,4,2,4,0,0,1,0,0,45,25,0,0.1176470588235294,68.82352941176471,train
25,3,176756,2,9,4,4,3,4,1,0,0,35,38,0,0.36,72.8,train
32,0,186824,2,9,4,4,4,4,1,0,0,40,38,0,0.28125,65.0,train
38,0,28887,4,7,2,3,0,4,1,0,0,50,38,0,0.1842105263157894,68.42105263157895,train
43,3,292175,2,14,0,1,4,4,0,0,0,45,38,1,0.3255813953488372,54.41860465116279,train
40,0,193524,3,16,2,1,0,4,1,0,0,60,38,1,0.4,78.0,validation
54,0,302146,2,9,5,0,4,2,0,0,0,20,38,0,0.1666666666666666,19.25925925925926,train
35,2,76845,4,5,2,4,0,2,1,0,0,40,38,0,0.1428571428571428,59.42857142857143,train
43,0,117037,4,7,2,4,0,4,1,0,2042,40,38,0,0.1627906976744186,48.372093023255815,train
59,0,109015,2,9,0,1,4,4,0,0,0,40,38,0,0.1525423728813559,35.25423728813559,train
56,2,216851,1,13,2,1,0,4,1,0,0,40,38,1,0.2321428571428571,37.142857142857146,train
19,0,168294,2,9,4,4,3,4,1,0,0,40,38,0,0.4736842105263157,109.47368421052632,test
39,0,367260,2,9,0,1,1,4,1,0,0,80,38,0,0.2307692307692307,106.66666666666669,train
49,0,193366,2,9,2,4,0,4,1,0,0,40,38,0,0.1836734693877551,42.44897959183673,train
23,2,190709,0,12,4,2,1,4,1,0,0,52,38,0,0.5217391304347826,117.56521739130434,train
20,0,266015,1,10,4,3,3,2,1,0,0,44,38,0,0.5,114.4,train
45,0,386940,1,13,0,1,3,4,1,0,1408,40,38,0,0.2888888888888888,46.22222222222222,train
30,2,59951,1,10,2,1,3,4,1,0,0,40,38,0,0.3333333333333333,69.33333333333333,validation
22,2,311512,1,10,2,0,0,2,1,0,0,15,38,0,0.4545454545454545,35.45454545454545,test
48,0,242406,4,7,4,4,4,4,1,0,0,40,32,0,0.1458333333333333,43.333333333333336,train
21,0,197200,1,10,4,4,3,4,1,0,0,40,38,0,0.4761904761904761,99.04761904761904,train
19,0,544091,2,9,1,1,5,4,0,0,0,25,38,0,0.4736842105263157,68.42105263157895,test
48,3,265477,0,12,2,1,0,4,1,0,0,40,38,0,0.25,43.333333333333336,validation
31,0,507875,4,5,2,4,0,4,1,0,0,43,38,0,0.1612903225806451,72.12903225806451,validation
53,3,88506,1,13,2,1,0,4,1,0,0,40,38,0,0.2452830188679245,39.24528301886792,train
24,0,172987,1,13,2,1,0,4,1,0,0,50,38,0,0.5416666666666666,108.33333333333331,train
49,0,94638,2,9,5,1,4,4,0,0,0,40,38,0,0.1836734693877551,42.44897959183673,train
25,0,289980,2,9,4,4,1,4,1,0,0,35,38,0,0.36,72.8,train
57,2,337895,1,13,2,1,0,2,1,0,0,40,38,1,0.2280701754385964,36.49122807017544,train
53,0,144361,2,9,2,4,0,4,1,0,0,38,38,0,0.1698113207547169,37.283018867924525,validation
44,0,128354,2,14,0,1,4,4,0,0,0,40,38,0,0.3181818181818182,47.27272727272727,train
41,2,101603,0,11,2,4,0,4,1,0,0,40,38,0,0.2682926829268293,50.73170731707317,validation
29,0,271466,0,11,4,1,1,4,1,0,0,43,38,0,0.3793103448275862,77.10344827586206,validation
25,0,32275,1,10,2,1,5,3,0,0,0,40,38,0,0.4,83.2,train
47,0,51835,2,15,2,1,5,4,0,0,1902,60,15,1,0.3191489361702128,66.38297872340425,test
50,2,251585,1,13,0,1,1,4,1,0,0,55,38,1,0.26,57.2,train
47,3,109832,2,9,0,1,1,4,1,0,0,60,38,0,0.1914893617021276,66.38297872340425,train
43,0,237993,1,10,2,1,0,4,1,0,0,40,38,1,0.2325581395348837,48.372093023255815,train
46,0,216666,4,3,2,4,0,4,1,0,0,40,25,0,0.0652173913043478,45.21739130434783,train
35,0,56352,0,11,2,0,0,4,1,0,0,40,32,0,0.3142857142857143,59.42857142857143,train
41,0,147372,2,9,2,1,0,4,1,0,0,48,38,0,0.2195121951219512,60.8780487804878,test
30,0,188146,2,9,2,4,0,4,1,5013,0,40,38,0,0.3,69.33333333333333,train
30,0,59496,1,13,2,3,0,4,1,2407,0,40,38,0,0.4333333333333333,69.33333333333333,validation
48,0,149640,2,9,2,4,0,4,1,0,0,40,38,0,0.1875,43.333333333333336,train
42,0,116632,3,16,2,1,0,4,1,0,0,45,38,1,0.3809523809523809,55.71428571428572,train
29,0,105598,1,10,0,1,1,4,1,0,0,58,38,0,0.3448275862068966,104.0,test
36,0,155537,2,9,2,4,0,4,1,0,0,40,38,0,0.25,57.77777777777778,train
28,0,183175,1,10,0,1,1,4,0,0,0,40,38,0,0.3571428571428571,74.28571428571429,test
53,0,169846,2,9,2,1,5,4,0,0,0,40,38,1,0.1698113207547169,39.24528301886792,train
49,3,191681,1,10,2,1,0,4,1,0,0,50,38,1,0.2040816326530612,53.06122448979592,train
19,0,101509,1,10,4,1,3,4,1,0,0,32,38,0,0.5263157894736842,87.57894736842105,train
31,0,309974,1,13,5,3,3,2,0,0,0,40,38,0,0.4193548387096774,67.09677419354838,train
29,3,162298,1,13,2,3,0,4,1,0,0,70,38,1,0.4482758620689655,125.51724137931036,train
23,0,211678,1,10,4,4,1,4,1,0,0,40,38,0,0.4347826086956521,90.43478260869566,train
79,0,124744,1,10,2,1,2,4,1,0,0,20,38,0,0.1265822784810126,13.164556962025316,train
27,0,213921,2,9,4,0,3,4,1,0,0,40,25,0,0.3333333333333333,77.03703703703704,train
40,0,32214,0,12,2,1,0,4,1,0,0,40,38,0,0.3,52.0,train
18,0,309634,4,7,4,0,3,4,0,0,0,22,38,0,0.3888888888888889,63.55555555555556,validation
31,2,125927,4,4,2,4,0,4,1,0,0,40,38,0,0.1290322580645161,67.09677419354838,validation
18,0,446839,2,9,4,3,1,4,1,0,0,30,38,0,0.5,86.66666666666667,train
52,0,276515,1,13,2,0,0,4,1,0,0,40,4,0,0.25,40.0,train
46,0,51618,2,9,2,0,5,4,0,0,0,40,38,0,0.1956521739130435,45.21739130434783,train
59,0,159937,2,9,2,3,0,4,1,0,0,48,38,0,0.1525423728813559,42.30508474576271,train
44,0,343591,2,9,0,4,1,4,0,14344,0,40,38,1,0.2045454545454545,47.27272727272727,validation
53,0,346253,2,9,0,3,3,4,0,0,0,35,38,0,0.1698113207547169,34.33962264150944,train
49,2,268234,2,9,2,2,0,4,1,0,0,40,38,1,0.1836734693877551,42.44897959183673,train
33,0,202051,2,14,2,1,0,4,1,0,0,50,38,0,0.4242424242424242,78.78787878787878,train
30,0,54334,4,5,4,3,1,4,1,0,0,40,38,0,0.1666666666666666,69.33333333333333,train
43,2,410867,3,16,4,1,1,4,0,0,0,50,38,1,0.3720930232558139,60.46511627906977,train
57,0,249977,0,11,2,1,0,4,1,0,0,40,38,0,0.1929824561403508,36.49122807017544,train
37,0,286730,1,10,0,4,4,4,0,0,0,40,38,0,0.2702702702702703,56.21621621621622,train
28,0,212563,1,10,0,4,4,2,0,0,0,25,38,0,0.3571428571428571,46.42857142857143,test
34,2,226296,1,13,2,2,0,4,1,0,0,40,38,1,0.3823529411764705,61.1764705882353,train
29,2,115585,1,10,4,4,1,4,1,0,0,50,38,0,0.3448275862068966,89.65517241379311,train
48,3,191277,3,16,2,1,0,4,1,0,1902,60,38,1,0.3333333333333333,65.0,train
37,0,202683,1,10,2,3,0,4,1,0,0,48,38,1,0.2702702702702703,67.45945945945945,train
48,0,171095,0,12,0,1,4,4,0,0,0,40,8,0,0.25,43.333333333333336,test
32,2,249409,2,9,4,0,3,2,1,0,0,40,38,0,0.28125,65.0,train
76,0,124191,2,14,2,1,0,4,1,0,0,40,38,1,0.1842105263157894,27.36842105263158,train
44,0,198282,1,13,2,1,0,4,1,15024,0,60,38,1,0.2954545454545454,70.9090909090909,validation
47,3,149116,2,14,4,1,1,4,0,0,0,50,38,0,0.2978723404255319,55.319148936170215,validation
20,0,188300,1,10,4,1,3,4,0,0,0,40,38,0,0.5,104.0,train
29,0,103432,2,9,4,4,1,4,1,0,0,40,38,0,0.3103448275862069,71.72413793103448,train
32,3,317660,2,9,2,4,0,4,1,7688,0,40,38,1,0.28125,65.0,train
30,0,194901,4,7,4,4,3,4,1,0,0,40,38,0,0.2333333333333333,69.33333333333333,validation
31,2,189265,2,9,4,1,1,4,0,0,0,40,38,0,0.2903225806451613,67.09677419354838,train
42,0,124692,2,9,2,4,0,4,1,0,0,40,38,0,0.2142857142857142,49.523809523809526,train
24,0,432376,1,13,4,3,2,4,1,0,0,40,38,0,0.5416666666666666,86.66666666666667,validation
38,0,65324,2,15,2,1,0,4,1,0,0,40,38,1,0.3947368421052631,54.73684210526316,train
56,3,335605,2,9,2,0,0,4,1,0,1887,50,1,1,0.1607142857142857,46.42857142857143,test
28,0,377869,1,10,2,3,5,4,0,4064,0,25,38,0,0.3571428571428571,46.42857142857143,test
36,0,102864,2,9,4,4,3,4,0,0,0,40,38,0,0.25,57.77777777777778,validation
53,0,95647,4,5,2,4,0,4,1,0,0,50,38,0,0.0943396226415094,49.0566037735849,train
56,3,303090,1,10,2,3,0,4,1,0,0,50,38,0,0.1785714285714285,46.42857142857143,train
49,2,197371,0,11,2,4,0,2,1,0,0,40,38,1,0.2244897959183673,42.44897959183673,train
55,0,247552,1,10,2,3,0,4,1,0,0,56,38,0,0.1818181818181818,52.94545454545455,train
22,0,102632,2,9,4,4,1,4,1,0,0,41,38,0,0.4090909090909091,96.9090909090909,train
21,0,199915,1,10,4,0,3,4,0,0,0,40,38,0,0.4761904761904761,99.04761904761904,train
40,0,118853,1,13,2,1,0,4,1,0,0,60,38,0,0.325,78.0,train
30,0,77143,1,13,4,1,3,2,1,0,0,40,10,0,0.4333333333333333,69.33333333333333,train
29,2,267989,1,13,2,1,0,4,1,0,0,50,38,1,0.4482758620689655,89.65517241379311,train
19,0,301606,1,10,4,0,3,2,1,0,0,35,38,0,0.5263157894736842,95.78947368421052,train
47,0,287828,1,13,2,1,5,4,0,0,0,40,38,1,0.2765957446808511,44.255319148936174,train
20,0,111697,1,10,4,1,3,4,0,0,1719,28,38,0,0.5,72.8,validation
31,0,114937,0,12,2,1,0,4,1,0,0,40,38,1,0.3870967741935484,67.09677419354838,train
39,0,365739,1,10,0,4,1,4,1,0,0,40,38,0,0.2564102564102564,53.333333333333336,train
28,0,69621,0,12,4,3,1,4,0,0,0,60,38,0,0.4285714285714285,111.42857142857144,train
24,0,43323,2,9,4,0,1,4,0,0,1762,40,38,0,0.375,86.66666666666667,validation
38,3,120985,2,9,2,4,0,4,1,4386,0,35,38,0,0.2368421052631578,47.89473684210526,train
37,0,254202,1,13,2,3,0,4,1,0,0,50,38,0,0.3513513513513513,70.27027027027027,validation
46,0,146195,0,12,0,1,1,2,0,0,0,36,38,0,0.2608695652173913,40.69565217391305,train
38,2,125933,2,14,2,1,0,4,1,0,0,40,19,1,0.3684210526315789,54.73684210526316,validation
43,3,56920,2,9,2,4,0,4,1,0,0,60,38,0,0.2093023255813953,72.55813953488372,validation
27,0,163127,0,11,2,1,5,4,0,0,0,35,38,0,0.4074074074074074,67.4074074074074,train
20,0,34310,1,10,4,3,3,4,1,0,0,20,38,0,0.5,52.0,train
49,0,81973,1,10,2,4,0,1,1,0,0,40,38,1,0.2040816326530612,42.44897959183673,test
61,3,66614,2,9,2,4,0,4,1,0,0,40,38,0,0.1475409836065573,34.09836065573771,train
27,0,232782,1,10,4,3,3,4,0,0,0,40,38,0,0.3703703703703703,77.03703703703704,train
19,0,316868,1,10,4,0,3,4,1,0,0,30,25,0,0.5263157894736842,82.10526315789474,train
45,0,196584,0,11,4,1,1,4,0,0,1564,40,38,1,0.2444444444444444,46.22222222222222,train
70,0,105376,1,10,4,1,2,4,1,0,0,40,38,0,0.1428571428571428,29.714285714285715,train
31,0,185814,2,9,4,4,4,2,0,0,0,30,38,0,0.2903225806451613,50.32258064516129,validation
22,0,175374,1,10,2,0,0,4,1,0,0,24,38,0,0.4545454545454545,56.72727272727273,validation
36,0,108293,2,9,6,0,4,4,0,0,0,24,38,0,0.25,34.666666666666664,train
64,0,181232,4,7,2,4,0,4,1,0,2179,40,38,0,0.109375,32.5,train
47,2,186009,1,10,0,1,4,4,0,0,0,38,25,0,0.2127659574468085,42.04255319148936,train
34,0,198183,2,9,4,1,1,4,0,0,0,40,38,0,0.2647058823529412,61.1764705882353,train
33,0,163003,1,13,4,1,2,1,0,0,0,40,29,0,0.3939393939393939,63.03030303030303,test
21,0,296158,2,9,4,4,3,4,1,0,0,35,38,0,0.4285714285714285,86.66666666666667,train
48,0,187715,2,9,2,4,0,4,1,0,0,46,38,0,0.1875,49.833333333333336,train
23,0,214542,1,13,4,4,1,4,1,0,0,40,38,0,0.5652173913043478,90.43478260869566,train
71,3,494223,1,10,5,3,4,2,1,0,1816,2,38,0,0.1408450704225352,1.4647887323943662,train
29,0,191535,2,9,0,4,1,4,1,0,0,60,38,0,0.3103448275862069,107.58620689655172,test
42,0,228456,1,13,5,0,2,2,1,0,0,50,38,0,0.3095238095238095,61.90476190476191,train
25,0,252752,2,9,4,0,4,4,0,0,0,40,38,0,0.36,83.2,test
44,3,78374,2,14,0,1,4,1,0,0,0,40,38,0,0.3181818181818182,47.27272727272727,validation
28,0,88419,2,9,4,1,1,1,0,0,0,40,8,0,0.3214285714285714,74.28571428571429,train
45,3,201080,2,14,2,3,0,4,1,0,0,40,38,1,0.3111111111111111,46.22222222222222,train
36,0,207157,1,10,0,0,4,4,0,0,0,40,25,0,0.2777777777777778,57.77777777777778,validation
39,2,235485,0,12,4,1,1,4,1,0,0,42,38,0,0.3076923076923077,56.0,train
46,2,102628,2,14,6,2,4,4,1,0,0,40,38,0,0.3043478260869565,45.21739130434783,train
18,0,25828,4,7,4,4,3,4,1,0,0,16,38,0,0.3888888888888889,46.22222222222222,train
66,2,54826,0,11,6,1,1,4,0,0,0,20,38,0,0.1666666666666666,15.757575757575758,train
27,0,124953,2,9,4,0,1,4,1,0,1980,40,38,0,0.3333333333333333,77.03703703703704,train
28,2,175325,2,9,2,2,0,4,1,0,0,40,38,0,0.3214285714285714,74.28571428571429,train
51,0,96062,1,10,2,3,0,4,1,0,1977,40,38,1,0.196078431372549,40.78431372549019,train
27,0,428030,1,13,4,4,1,4,1,0,0,50,38,0,0.4814814814814814,96.29629629629628,train
